LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,0904446;0,0112726;0,0191434;-0,0702899;0,0117108;0,988379;0,994722;0,9966;0,957711;0,961673;1;0,944624;0,811141;Dorsal;Green
-0,0238547;0,0378835;0,0644405;-0,0112993;0,0565624;0,817667;0,974686;1;0,998273;0,948402;0,967522;0,767239;0,860235;Dorsal;Green
0,00826796;0,0657798;0,0370327;0,165863;-0,023854;0,861509;1;0,927214;0,899662;0,980918;0,921367;0,799823;0,635417;Dorsal;Green
-0,11078;-0,170622;-0,109417;-0,148234;0,318618;0,925556;0,921923;0,96451;0,976214;0,93829;1;0,918715;0,909765;Dorsal;Green
-0,101485;-0,0194402;-0,0474454;-0,173708;0,0842001;0,89575;0,980969;0,97611;1;0,886034;0,93579;0,856433;0,857003;Dorsal;Green
0,0638032;-0,0170524;-0,164579;-0,00890619;0,00235683;0,851937;1;0,921719;0,947383;0,9188;0,840766;0,759743;0,736813;Dorsal;Green
-0,207714;-0,507117;-0,328826;-0,397487;-0,169432;0,652446;0,889692;0,942759;1;0,986695;0,804476;0,698596;0,552216;Dorsal;Green
0,0885902;0,0518355;0,078962;0,0172468;0,0337253;0,673912;0,942459;0,955123;1;0,947402;0,893624;0,770369;0,441269;Dorsal;Green
-0,0198866;-0,193948;-0,033334;-0,148913;-0,00936638;0,95953;0,948815;1;0,96053;0,944877;0,928136;0,784534;0,852994;Dorsal;Green
0,0192667;0,0936737;0,128417;0,0676631;0,0801193;0,717182;0,976876;0,928603;1;0,922287;0,5099;0,486323;0,316506;Dorsal;Green
0,133655;0,0748552;-0,121452;-0,0629691;0,0285291;0,874496;0,874105;0,907388;0,833564;0,871114;1;0,778153;0,878271;Dorsal;Green
0,0669852;0,0772572;0,266254;-0,0975701;0,300772;0,987248;0,988947;0,958684;1;0,954669;0,954042;0,854013;0,745462;Dorsal;Green
0,0335633;0,160888;0,235263;0,156912;0,0255069;0,695486;1;0,935916;0,991007;0,833299;0,917008;0,898743;0,715966;Dorsal;Green
-0,111168;-0,391238;-0,424127;-0,438874;-0,0718605;0,704787;0,894584;0,905322;1;0,874353;0,70047;0,562647;0,304601;Dorsal;Green
-0,120896;-0,0140238;-0,107327;-0,124544;0,0350243;0,920038;0,944244;0,922905;1;0,912161;0,760363;0,751251;0,768495;Dorsal;Green
-0,0368054;0,138608;0,0358228;0,0567595;0,0496942;0,650248;0,957621;0,936725;1;0,898884;0,892018;0,787856;0,609764;Dorsal;Green
0,00558641;0,0549376;-0,0664242;-0,047128;0,263275;0,783402;0,937104;1;0,921388;0,915968;0,896718;0,845593;0,669338;Dorsal;Green
0,0210073;-0,211753;-0,0566324;-0,0247181;0,257444;0,91641;1;0,915792;0,827255;0,892763;0,862103;0,832051;0,776542;Dorsal;Green
0,0938686;0,0798321;0,100955;-0,114383;0,0766104;0,969415;0,88884;0,88102;0,940681;0,914409;0,846663;1;0,91065;Dorsal;Green
0,199755;0,0659512;0,0763333;0,0772502;0,487259;0,90095;1;0,908573;0,948191;0,880964;0,972286;0,848084;0,915144;Dorsal;Green
-0,0518373;0,0328995;-0,0298847;-0,0634863;-0,101021;0,827273;0,851906;0,869816;1;0,866125;0,96544;0,802507;0,672427;Dorsal;Green
-0,0498035;0,0189979;-0,0302219;-0,0277076;0,124182;1;0,938411;0,936329;0,91167;0,934549;0,975654;0,975504;0,791668;Dorsal;Green
0,0752602;0,202671;0,101112;-0,145399;-0,0229957;0,896465;0,963598;0,951865;0,881529;0,847705;1;0,844057;0,66545;Dorsal;Green
-0,19765;-0,433861;-0,464225;-0,533158;0,0883514;0,73679;0,992562;0,968988;1;0,909036;0,629878;0,515217;0,47928;Dorsal;Green
0,0657511;0,0885606;-0,0579918;-0,183569;0,0572753;0,8956;0,923267;0,938417;0,985037;0,962459;0,97869;1;0,713083;Dorsal;Green
-0,101158;-0,0131849;0,00732834;-0,125501;-0,163502;0,754212;0,90956;1;0,967082;0,911793;0,888959;0,564113;0,486577;Dorsal;Green
-0,0882567;0,0431226;-0,0794447;-0,250635;0,0156741;0,372957;0,857733;1;0,990972;0,873324;0,720801;0,659968;0,575727;Dorsal;Green
-0,149208;-0,445504;-0,508826;-0,376448;0,11132;0,771392;0,917502;0,951438;1;0,975923;0,646428;0,46299;0,655186;Dorsal;Green
-0,0338074;0,120479;-0,0277193;-0,014448;0,0552364;0,598924;0,805171;1;0,867095;0,922725;0,8551;0,695288;0,578797;Dorsal;Green
0,0625178;0,00433529;-0,0185755;0,193708;0,0444194;0,383578;0,931601;1;0,99725;0,909583;0,672212;0,418185;0,19486;Dorsal;Green
0,0226948;-0,0438381;-0,104233;-0,0802232;0,16811;0,971283;0,746177;0,921161;0,976703;1;0,919175;0,746937;0,835749;Dorsal;Green
0,0426627;0,236782;0,0413477;-0,130807;-0,0354841;0,880322;0,797543;0,797621;1;0,933558;0,83573;0,808585;0,77462;Dorsal;Green
0,118181;0,0548427;0,0604667;-0,0905212;-0,122444;0,966696;0,903317;0,908802;0,928145;1;0,854136;0,844812;0,853036;Dorsal;Green
-0,0538668;0,190103;0,0273915;0,0235438;0,242283;0,836178;0,977226;0,962988;1;0,996421;0,987796;0,803944;0,87522;Dorsal;Green
-0,146565;-0,19474;-0,286053;-0,253743;0,0708129;0,716815;1;0,946663;0,89797;0,825734;0,67119;0,470762;0,359964;Dorsal;Green
-0,330374;-0,0497995;-0,117437;-0,0735782;-0,226404;0,409318;0,819137;0,912035;1;0,821696;0,487819;0,44132;0,424249;Dorsal;Green
0,20763;-0,154361;-0,252862;-0,249165;0,062173;0,98962;1;0,861033;0,833798;0,813707;0,889557;0,942484;0,829858;Dorsal;Green
0,188815;0,105056;0,335219;0,0864705;0,012394;0,938348;0,993616;0,86455;1;0,835277;0,791194;0,484251;0,441104;Dorsal;Green
0,0663502;-0,174718;-0,220392;-0,189089;-0,218589;0,745852;0,838353;0,82735;0,928652;0,822377;0,900328;0,792098;1;Dorsal;Green
-0,0912479;-0,0905458;-0,31354;-0,240252;-0,368905;0,703363;0,790073;0,995485;1;0,829871;0,93028;0,513338;0,516044;Dorsal;Green
0,0832912;0,0225256;0,0915545;-0,112129;0,0388998;0,458794;0,902208;1;0,972151;0,873727;0,351261;0,448044;0,346732;Dorsal;Green
-0,053388;-0,108935;-0,027532;-0,137568;0,00681005;0,964246;0,757012;0,959178;1;0,834715;0,809543;0,815819;0,635792;Dorsal;Green
-0,0396779;-0,219032;0,0872414;-0,267022;-0,142804;0,747618;0,844226;0,921749;0,846964;0,791206;1;0,585277;0,623463;Dorsal;Green
0,147571;-0,143323;-0,0319523;-0,0166419;-0,0838869;1;0,899455;0,984913;0,989997;0,816998;0,750679;0,925389;0,345917;Dorsal;Green
0,131845;-0,15571;-0,339315;-0,292461;-0,0946557;0,629108;0,99262;0,972417;1;0,921274;0,476123;0,342783;0,369358;Dorsal;Green
-0,134962;-0,25749;-0,433442;-0,367949;0,0707437;0,81098;0,861066;0,852438;0,875612;1;0,866064;0,739608;0,606851;Dorsal;Green
-0,0389406;-0,0839909;-0,267889;-0,0868718;-0,147364;0,459117;1;0,995357;0,96753;0,921205;0,759717;0,417121;0,599545;Dorsal;Green
-0,679154;-0,711875;-0,575781;-0,558766;-0,351799;0,806706;0,864032;0,943034;0,979112;1;0,679964;0,811969;0,670745;Dorsal;Green
0,060903;0,0894092;-0,0848737;-0,242012;-0,0703726;0,262288;0,874003;0,934113;1;0,928033;0,596425;0,270883;0,307365;Dorsal;Green
0,0439256;0,138761;0,0219165;-0,0140022;0,0130825;0,52995;0,684765;0,803027;0,946874;1;0,820183;0,421779;0,410788;Dorsal;Green
0,189925;0,103888;-0,0903028;0,0248701;-0,116179;0,982749;0,831906;1;0,893804;0,727675;0,911839;0,823217;0,509057;Dorsal;Green
-0,116492;-0,127113;-0,0589473;-0,241469;-0,0809447;0,832623;1;0,768291;0,986309;0,824705;0,707621;0,713005;0,475294;Dorsal;Green
0,0216805;-0,15126;-0,0653497;-0,0440759;-7,20E-05;0,586815;0,637013;0,908345;1;0,690528;0,81734;0,733154;0,759005;Dorsal;Green
0,186661;0,0826573;0,163603;-0,169204;0,0355326;0,708176;1;0,983399;0,963213;0,871807;0,741827;0,531988;0,64429;Dorsal;Green
0,199272;0,0821956;0,101284;0,0899718;0,108305;0,81327;0,838002;0,92697;1;0,837448;0,605345;0,759054;0,533304;Dorsal;Green
-0,0722995;-0,0619956;-0,228883;-0,414611;-0,215044;0,425945;1;0,980889;0,962123;0,791602;0,679001;0,533305;0,274885;Dorsal;Green
-0,16338;0,0815457;-0,307857;-0,252467;-0,13318;0,53019;0,757345;0,921879;1;0,887916;0,663098;0,435685;0,191992;Dorsal;Green
-0,611698;-0,757192;-0,682527;-1;-0,265358;0,556813;0,829735;0,692091;0,896411;0,54293;0,430916;0,428719;0,224471;Dorsal;Green
-0,219052;-0,069309;0,107724;0,140649;-0,228139;0,644897;0,842708;0,936947;1;0,784777;0,632716;0,39572;0,396459;Dorsal;Green
