LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,193011;0,0861034;0,205815;0,368954;0,60838;1;0,757659;0,56802;0,110867;0,231165;0,179622;0,296368;0,360042;R
0,202872;0,292136;0,459103;0,676578;1;0,782933;0,614104;0,249073;0,21689;0,152181;0,124965;0,176068;0,275483;R
0,479612;0,731718;0,77463;0,904677;1;0,794684;0,637668;0,373762;0,33095;0,20565;0,310859;0,235099;0,350473;R
-0,547684;-0,138435;0,0446527;0,258847;0,72695;1;0,809926;0,621884;0,253275;0,284371;-0,132527;0,32711;0,397209;R
0,0281341;0,130764;0,176701;0,299237;0,554544;1;0,642451;0,587663;0,108549;0,0269321;0,0420408;0,219828;0,134915;R
0,135579;0,467294;0,68371;1;0,947602;0,817999;0,518752;0,240695;0,0505177;-0,0305179;0,153432;0,236407;0,14025;R
0,348519;0,504949;0,781187;0,866025;1;0,785478;0,665249;0,493324;0,331109;0,269943;0,283439;0,456958;0,586645;R
0,047343;0,254588;0,350106;0,441954;0,820756;1;0,894764;0,548563;0,151362;0,0430681;0,179919;0,424184;0,00154033;R
0,0218375;0,217302;0,446618;0,599402;1;0,819178;0,634275;0,176217;0,038779;-0,0965088;0,022548;-0,142208;-0,0374423;R
0,123394;0,238486;0,264038;0,295415;0,604668;1;0,73507;0,579516;0,167449;0,130566;0,0279741;0,205986;0,149615;R
0,453281;0,596261;0,747339;0,878291;1;0,867741;0,932168;0,445857;0,378767;0,33067;0,231616;0,354825;0,39852;R
0,404162;0,5439;0,595888;0,964264;0,967315;1;0,72045;0,566852;0,358166;0,33426;0,278089;0,452815;0,48671;R
-0,221291;-0,211117;0,145479;0,431518;0,748336;1;0,846871;0,585237;0,0538391;0,0434748;0,0434139;0,239285;0,162952;R
0,755845;0,584043;0,788299;0,92369;0,969939;1;0,880481;0,750353;0,610071;0,713065;0,401946;0,923085;0,831325;R
0,41417;0,490695;0,703482;0,858443;1;0,869329;0,61629;0,532115;0,478958;0,495071;0,31497;0,285979;0,528427;R
0,162632;0,258864;0,501443;0,703779;1;0,989281;0,387228;0,175587;-0,453903;-0,542288;0,00680098;0,0500813;-0,00478248;R
-0,025514;0,135738;0,28638;0,545631;1;0,990739;0,390722;0,192341;0,453071;0,326041;0,279465;0,0880634;0,457542;R
0,23487;0,528989;6,60E-01;1;0,85512;0,803534;0,657246;0,367417;0,246059;0,263838;0,491043;0,259103;0,484118;R
0,31714;0,5248;0,601752;0,799342;0,909008;1;0,693113;0,232969;0,326059;0,0615167;0,253458;0,489279;0,456051;R
0,210633;0,296182;0,61733;0,914885;0,961144;1;0,693383;0,168901;0,321469;0,295619;0,182052;0,265865;0,303258;R
0,316962;0,474796;0,856751;0,923656;1;0,802299;0,528402;0,190548;0,372012;0,178968;0,20336;0,125466;0,212379;R
