LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
-0,0218564;0,0911123;-0,0389594;0,114931;-0,120794;-0,0759721;0,0237468;0,178311;0,176211;0,521262;0,896696;0,964416;0,999942;U
-0,0129335;0,0345434;0,075246;-0,0100751;-0,0421309;0,0295912;0,101858;0,0936979;0,194564;0,827226;0,953986;0,954904;1;U
-0,0574451;-0,0745587;-0,0523634;-0,120358;-0,00470672;0,00378719;-0,00939612;0,0814352;0,0843008;0,670922;0,980636;0,958543;1;U
0,246512;0,132195;0,247024;0,255681;0,247465;0,236446;0,167165;0,0837067;0,231532;0,258806;0,783409;0,989637;1;U
0,0971996;0,16092;0,2496;0,182424;0,148027;0,144302;0,1121;0,041708;0,153461;0,205299;0,621401;0,976272;1;U
-0,100867;-0,0534651;-0,182064;-0,156341;-0,049101;-0,164087;-0,204846;-0,0173298;-0,00756755;0,643882;0,963973;0,990401;1;U
0,1195;0,129171;0,0570454;0,150626;0,0703386;0,106084;0,105292;0,123947;0,1391;0,24744;0,642876;0,984791;1;U
0,0166991;0,132372;0,163715;0,178126;0,143225;0,0698971;-0,0664095;-0,0401583;-0,052965;0,199686;0,906911;0,971276;1;U
0,00759027;-0,0572692;-0,0776017;-0,0573734;0,0502514;0,0540949;-0,0577074;0,0528804;0,106097;0,423351;0,830947;0,911881;1;U
0,0501232;0,106724;0,175192;0,116993;0,0507414;0,136967;0,101469;0,23306;0,273637;0,594872;0,981301;0,964168;0,986649;U
0,1298;0,139912;0,144876;0,0869052;0,0918529;0,0340516;-0,027804;-0,034022;0,0518868;0,331079;0,817668;0,96237;1;U
0,113584;0,107358;0,244426;0,209118;0,00264809;-0,11024;-0,0663209;0,011349;0,209308;0,820343;0,983538;1;0,954134;U
-0,0663386;-0,0879146;0,0662669;0,118565;-0,0140725;0,136173;0,084815;0,193364;0,165266;0,548251;0,921716;1;0,970053;U
-0,206584;-0,251813;-0,275897;-0,213303;-0,234757;-0,188843;-0,200014;-0,146055;0,016361;0,586013;0,913057;1;0,997599;U
-0,146139;-0,123251;-0,175885;-0,0409506;-0,0734961;-0,0975261;-0,0662726;-0,0567449;0,059234;0,26713;0,832535;0,963675;1;U
-0,133137;0,0545176;1,03E-01;0,0320514;0,0531175;0,0819102;0,0875752;0,118029;0,306218;0,570841;0,96798;1;0,991207;U
-0,273163;-0,209951;-0,216422;-0,221365;-0,162413;-0,273013;-0,111965;-0,202215;-0,0404486;0,61203;0,972175;1;0,991522;U
0,0737858;0,174986;0,312326;0,243017;0,247644;0,263154;0,197907;0,21668;0,187352;0,412732;0,852964;0,956935;1;U
0,00777292;0,194656;0,240208;0,188348;0,170541;0,0688758;0,116202;0,435909;0,329711;0,537384;0,979293;0,916934;1;U
0,151359;0,205384;0,0942798;0,165682;0,105002;0,0688805;0,253276;0,287634;0,175461;0,565331;0,906816;0,89327;1;U
0,110316;0,0195218;0,054558;0,148019;0,17413;0,195911;0,351144;0,31486;0,47961;0,856812;1;0,934052;0,938109;U
-0,0531745;-0,0434283;-0,0834078;-0,0349217;-0,075544;0,0937042;-0,0540281;0,123632;0,167145;0,858465;0,938626;0,953184;1;U
0,256809;0,181199;0,372281;0,32844;0,270676;0,2336;0,207564;0,136587;0,188996;0,252092;0,821521;1;0,934834;U
-0,1065;-0,0664028;-0,0167841;-0,0751463;-0,0656274;-0,0158101;-0,0474266;0,0534689;0,0142708;0,508669;0,914838;1;0,954727;U
-0,0856957;-0,108043;-0,0217059;-0,0126108;0,0167079;0,0666925;0,0971676;-0,0343874;0,0555779;0,45082;0,97173;1;0,998026;U
0,152971;0,147588;0,152688;0,221703;0,251396;0,230946;0,276848;0,250802;0,345442;0,685691;0,950674;0,956107;1;U
-0,042411;-0,0133985;-0,0810854;-0,0481056;-0,0542537;-0,0544331;0,0398507;0,136891;0,0942744;0,476751;0,830431;1;0,884243;U
0,0487176;0,110018;0,152176;0,211974;0,255929;0,256496;0,328627;0,402445;0,484239;0,826024;0,928623;1;0,994062;U
0,153404;0,278514;0,274017;0,317758;0,291258;0,21855;0,364504;0,36244;0,278978;0,548183;0,91027;0,981806;1;U
