LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,164053;-0,161219;-0,158975;-0,340635;-0,929022;-1;-0,359064;0,285245;0,395768;0,3961;0,355555;0,40739;0,317904;SZ;B
-0,255079;-0,149326;-0,266432;-0,263746;-0,820826;-1;-0,563749;0,46392;0,556621;0,564903;0,518935;0,481787;0,352117;SZ;B
-0,121903;-0,0459179;-0,0303675;-0,271161;-0,57209;-1;-0,880645;0,297666;0,473683;0,552771;0,549118;0,517244;0,448801;SZ;B
-0,195074;-0,285239;-0,328561;-0,463248;-0,819174;-1;-0,80486;0,401669;0,612049;0,652661;0,62562;0,605548;0,550206;SZ;B
-0,165087;-0,050126;-0,323042;-0,309966;-0,794934;-0,995112;-1;0,239784;0,438257;0,573273;0,538573;0,563505;0,31946;SZ;B
0,0189222;-0,196682;0,0476503;-0,01852;-0,826282;-1;-0,325394;0,543474;0,728622;0,811575;0,631123;0,736247;0,49682;SZ;B
-0,114592;-0,380411;-0,0186853;-0,196247;-0,41933;-1;-0,292249;0,460451;0,557181;0,56597;0,447081;0,414472;0,4015;SZ;B
-0,190446;-0,187528;-0,1832;-0,202293;-0,700386;-1;-0,24468;0,450336;0,639325;0,552786;0,465747;0,509064;0,445786;SZ;B
0,00134498;-0,014027;0,00743168;-0,294172;-0,782456;-1;-0,553939;0,458314;0,533484;0,661387;0,509523;0,578477;0,399598;SZ;B
-0,0597467;-0,38197;-0,213839;-0,250959;-1;-0,975964;-0,821663;0,349579;0,410687;0,496276;0,310663;0,382856;0,246532;SZ;B
-0,190532;-0,193262;-0,412767;-0,481441;-0,806766;-1;-0,661989;0,47442;0,613905;0,597815;0,600046;0,617782;0,421125;SZ;B
0,0760962;-0,0986823;-0,139679;-0,0823726;-0,363719;-0,868954;-0,643078;0,185143;0,706538;1;0,820774;0,78062;0,544845;SZ;B
-0,0359308;-0,150213;-0,217887;-0,179067;-0,633404;-1;-0,793043;0,19464;0,746341;0,983765;0,859803;0,831323;0,576797;SZ;B
-0,179532;-0,399147;-0,326805;-0,747051;-0,599022;-1;-0,579903;0,188618;0,660939;0,669609;0,710634;0,707802;0,480964;SZ;B
-0,354937;-0,264047;-0,0878227;-0,128082;-0,942888;-1;-0,499961;0,619465;0,668701;0,694048;0,673741;0,660023;0,619274;SZ;B
-0,0682341;-0,111547;-0,168495;-0,193597;-0,504461;-1;-0,351699;0,70014;0,840465;0,960016;0,857096;0,919162;0,772984;SZ;B
-0,10177;-0,136139;-0,114846;-0,205149;-0,666693;-0,48434;-0,331979;0,741089;0,937434;1;0,938178;0,879007;0,797506;SZ;B
-0,128548;-0,191901;-0,136804;-0,243901;-0,480841;-0,643827;-0,634583;0,641436;0,851277;1;0,91579;0,888089;0,779393;SZ;B
-0,0741305;-0,0844185;-0,127593;-0,224396;-0,593548;-0,75288;-0,859986;0,465816;0,781005;1;0,839007;0,73929;0,611495;SZ;B
0,0590317;-0,130706;-0,117236;-0,191193;-0,495527;-0,489507;-0,198614;0,67166;0,884499;1;0,897283;0,758884;0,573358;SZ;B
0,0551696;-0,0442864;-0,13253;-0,315382;-0,619259;-0,786729;-1;0,268917;0,610016;0,844148;0,952225;0,812656;0,776647;SZ;B
0,0107318;-0,0239487;-0,0392982;-0,357026;-0,356604;-0,674642;-0,719848;0,62695;0,765924;1;0,847575;0,830998;0,736151;SZ;B
0,0326665;0,0284738;0,0885132;0,112905;-0,11207;-0,443836;0,186829;0,896268;0,93804;0,957088;0,906988;1;0,791384;SZ;B
-0,0921638;-0,117148;-0,151657;-0,275063;-0,440991;-0,714804;-0,0818573;0,848076;0,928701;1;0,880007;0,849362;0,875277;SZ;B
-0,369061;-0,492823;-0,539321;-0,71173;-0,880812;-1;-0,888285;0,238896;0,352474;0,350837;0,327922;0,327607;0,316476;SZ;B
-0,133237;-0,189991;-0,246071;-0,174831;-0,451861;-0,631309;-0,670088;0,264907;0,776411;1;0,897363;0,839833;0,60923;SZ;B
-0,271643;-0,375874;-0,430036;-0,495018;-0,781119;-0,900001;-0,687331;0,874206;0,964717;0,988357;0,98019;1;0,94536;SZ;B
-0,135514;-0,188583;-0,163545;-0,000462739;-0,813851;-1;-0,847182;0,451532;0,520243;0,563575;0,477718;0,771431;0,452625;SZ;B
-0,114087;0,0041847;-0,0145701;-0,204131;-0,376609;-0,663103;-0,570666;0,156907;0,666804;1;0,914589;0,804126;0,667346;SZ;B
0,0583217;0,0735021;0,133252;0,0556117;-0,32593;-0,411126;-0,416584;0,379223;0,795206;1;0,8697;0,713151;0,445882;SZ;B
0,139352;0,0776936;0,186415;-0,0658953;-0,183959;-0,261988;-0,341598;0,575614;0,797153;1;0,781911;0,724335;0,577475;SZ;B
-0,0356978;-0,23659;-0,596414;-0,423888;-0,81998;-1;-0,757948;0,562252;0,941732;0,923183;0,747696;0,917834;0,734113;SZ;B
-0,0379686;0,146844;0,0785733;0,139672;-0,265491;-0,45394;0,0947139;0,968024;1;0,958103;0,920232;0,976919;0,889625;SZ;B
-0,176088;-0,0495158;-0,0267733;-0,256475;-0,774747;-1;-0,818318;0,319875;0,743449;0,954491;0,897007;0,734742;0,719764;SZ;B
-0,00184753;-0,0285062;-0,272942;-0,297802;-0,407459;-0,375815;-0,569177;0,131603;0,70076;1;0,866629;0,647158;0,515381;SZ;B
-0,0552719;-0,00555722;0,0850069;-0,219529;-0,465922;-0,896592;-0,310176;0,340131;0,849074;1;0,707561;0,357744;-0,193787;SZ;B
-0,151387;-0,301376;-0,0751204;-0,016902;-0,376396;-0,405122;-0,52068;0,485318;0,842802;1;0,763181;0,733103;0,522595;SZ;B
-0,100051;0,036647;-0,144289;-0,046106;-0,19584;-0,261359;-0,311931;0,724652;0,918882;1;0,961752;0,856261;0,737717;SZ;B
0,0393481;0,043818;0,0380845;-0,0146098;-0,323426;-0,620394;-0,238927;0,910027;1;0,969672;0,962284;0,90624;0,84213;SZ;B
-0,00804194;-0,0783347;0,0989534;-0,0682352;-0,339506;-0,697205;-0,501663;0,0515798;0,640839;1;0,99364;0,928672;0,551631;SZ;B
-0,0946497;-0,0972514;-0,26049;-0,343295;-0,342419;-0,331821;-0,027982;0,883592;0,970994;1;0,950224;0,906868;0,800663;SZ;B
0,116732;-0,254925;0,0156993;-0,233394;-0,328769;-0,950823;-0,704566;0,522069;0,833586;1;0,688309;0,744101;0,555533;SZ;B
0,0997517;0,0993461;0,000178388;-0,292194;-0,273857;-0,0863951;-0,144358;0,542824;0,784125;1;0,97671;0,735859;0,462266;SZ;B
0,00406667;0,263662;0,131945;0,291988;-0,150852;-0,14371;-0,487358;0,322656;0,940848;0,844588;0,864108;1;0,523615;SZ;B
0,0255506;-0,126249;0,0580377;0,169962;-0,110816;-0,707397;0,0374369;0,813764;1;0,978152;0,936453;0,967199;0,935816;SZ;B
0,0525318;-0,131928;-0,537598;-0,408776;-0,486443;-0,99256;-1;0,0871379;0,647758;0,991091;0,676252;0,740925;0,695305;SZ;B
0,00390712;-0,14543;-0,0865944;-0,104423;-0,237661;-0,475094;-0,692638;0,504848;0,89717;1;0,998563;0,848008;0,50012;SZ;B
0,0569612;-0,0499877;-0,181097;-0,168015;-0,167681;-0,394789;-0,24177;0,612221;0,84576;1;0,842615;0,872132;0,68067;SZ;B
