LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
0,27181;0,458347;7,20E-01;0,866152;1;0,920346;0,994666;0,786102;0,792476;0,446667;0,442969;0,499604;0,816488;SZ;Red
0,47671;0,627323;0,690798;0,760427;1;0,913635;0,944139;0,673411;0,647212;0,422644;0,308144;0,736161;0,632249;SZ;Red
0,229669;0,46759;0,636061;0,780486;1;0,871991;0,542877;0,486194;0,52159;0,316455;0,248215;0,308957;0,556584;SZ;Red
0,354845;0,588847;0,932794;0,985265;1;0,89823;0,882019;0,648957;0,650758;0,280523;0,472996;0,53931;0,570806;SZ;Red
0,31851;0,738703;0,871131;0,904957;1;0,799486;0,760745;0,721939;0,658522;0,299889;0,252626;0,334807;0,584941;SZ;Red
0,336366;0,594164;0,888329;0,926778;0,956294;1;0,739504;0,679228;0,639433;0,101212;0,157294;0,354537;0,566254;SZ;Red
0,0448351;0,685597;0,933991;1;0,921843;0,941758;0,83298;0,583058;0,809155;0,22279;0,41805;0,466206;0,568332;SZ;Red
-0,0593414;0,508173;0,675707;0,736547;1;0,85922;0,831359;0,612804;0,708164;0,412683;0,365656;0,463262;0,659529;SZ;Red
0,136429;0,601607;0,739265;0,927789;1;0,960168;0,917396;0,517693;0,490851;0,512123;0,075878;0,198574;0,881136;SZ;Red
0,112553;0,551333;0,612324;0,87531;1;0,895735;0,791339;0,52813;0,47449;0,392756;0,394712;0,33528;0,423953;SZ;Red
-0,0149921;0,467017;0,651069;0,791498;1;0,790334;0,778176;0,551101;0,560255;0,369847;0,367464;0,228568;0,438041;SZ;Red
-0,0240184;0,271479;0,600773;0,854692;1;0,983828;0,736405;0,392948;0,282986;0,0597132;-0,0460565;0,216396;0,163702;SZ;Red
-0,142654;0,216834;0,515436;0,814251;0,985854;1;0,872251;0,607154;0,6362;0,459579;0,371332;0,648135;0,657899;SZ;Red
0,274395;0,462125;0,63696;0,92665;0,917736;1;0,821474;0,571512;0,665845;0,373601;0,680379;0,429691;0,603271;SZ;Red
0,0945007;0,260662;0,47723;0,840201;1;0,821751;0,786415;0,608795;0,39892;0,237762;0,282463;0,366152;0,564274;SZ;Red
0,0909756;0,0423214;0,441127;0,576445;1;0,699601;0,554414;0,255182;0,295552;0,281923;0,161124;0,331137;0,314486;SZ;Red
0,4587;0,384646;0,793467;0,889798;1;0,872101;0,787267;0,642319;0,502217;0,347505;0,456914;0,403421;0,71583;SZ;Red
0,114238;0,427365;0,52718;1;0,808274;0,973296;0,86273;0,444747;0,436432;0,230135;0,112979;0,481818;0,550996;SZ;Red
-0,069165;0,288315;0,603687;0,882254;1;0,802301;0,85459;0,251023;0,220514;0,14294;0,03017;0,22126;0,607397;SZ;Red
0,113919;0,211266;0,394601;0,391338;1;0,895658;0,470937;0,315649;0,286502;0,0875533;0,131573;0,209822;0,377331;SZ;Red
0,337141;0,462549;0,478136;0,754142;1;0,798812;0,67442;0,426082;0,522866;0,443605;0,0730825;0,161263;0,508449;SZ;Red
0,264526;0,509555;0,684769;1;0,985003;0,975896;0,944025;0,603466;0,369187;0,326254;0,291021;0,382202;0,459984;SZ;Red
0,0418976;0,364497;0,443276;0,656645;1;0,801229;0,590029;0,413112;0,600862;0,610147;0,0901074;0,0953659;0,345505;SZ;Red
0,0949872;0,446442;0,450752;0,650247;1;0,915514;0,448937;0,380519;0,358339;0,202109;0,437202;0,354702;0,340426;SZ;Red
0,458776;0,5672;0,782453;0,693372;1;0,828635;0,817587;0,578383;0,840985;0,233533;0,269833;0,139254;0,967204;SZ;Red
0,294454;0,583126;0,591677;0,772092;0,849389;1;0,851602;0,617738;0,634503;0,598405;0,359207;0,637297;0,572418;SZ;Red
0,379084;0,514221;0,651603;0,827167;1;0,944516;0,728834;0,552738;0,595231;0,47631;0,20126;0,0987597;0,427327;SZ;Red
0,386086;0,21811;0,382103;0,769105;1;0,855154;0,853234;0,431426;0,474703;0,0303245;0,0580581;0,415482;0,563624;SZ;Red
0,00107431;0,299891;0,450487;0,526798;1;0,947161;0,621611;0,392266;0,301838;0,262391;0,148318;0,289931;0,0695112;SZ;Red
0,0386487;0,125855;0,34022;0,630804;1;0,775307;0,666283;0,395803;0,37881;0,0879837;0,154503;0,434599;0,387063;SZ;Red
0,155505;0,411632;0,923203;0,822808;1;0,901051;0,706249;0,43128;0,403913;0,156131;0,343885;0,0704097;0,158969;SZ;Red
0,166807;-0,0242404;0,354379;0,744025;1;0,898215;0,582767;0,40525;0,173167;0,347508;0,331169;0,362505;0,220217;SZ;Red
0,271819;0,625024;0,781476;0,805499;1;0,662639;0,844476;0,800326;0,51376;0,466902;0,362553;0,393959;0,527867;SZ;Red
-0,00803553;0,337817;0,639024;0,841187;1;0,893505;0,834763;0,610067;0,54495;0,136997;0,201251;0,318654;0,307629;Ventral;Red
0,142861;0,648612;0,857873;0,974308;0,996759;1;0,989203;0,7017;0,761916;0,461381;0,471046;0,48186;0,654313;Ventral;Red
0,205651;0,545267;0,72605;0,939351;0,967655;1;0,894807;0,661667;0,648347;0,478031;0,529478;0,519824;0,720654;Ventral;Red
0,155412;0,647479;0,809961;0,970885;1;0,951045;0,966616;0,708492;0,769118;0,469775;0,44436;0,6689;0,683333;Ventral;Red
-0,0188816;0,130359;0,63252;0,881092;1;0,934874;0,760782;0,151021;0,278502;0,121694;-0,0198603;-0,0384283;0,00761377;Ventral;Red
0,0969992;0,520569;0,63493;0,904544;1;0,969545;0,769298;0,324838;0,531035;0,158139;0,482947;0,459291;0,477055;Ventral;Red
0,0791566;0,107802;0,208679;0,720527;1;0,846686;0,657118;-0,0282585;0,0475095;0,0149668;-0,0250863;-0,0485321;0,170938;Ventral;Red
0,226418;0,483888;0,709617;0,881602;0,979022;1;0,752753;0,427547;0,24219;0,188084;0,0276895;0,197263;0,199717;Ventral;Red
0,137047;0,471928;0,733737;0,918262;1;0,888963;0,824628;0,451159;0,320687;0,0303591;-0,265919;-0,00654385;0,000812395;Ventral;Red
-0,136911;0,118182;0,285673;0,744847;0,966323;1;0,6328;-0,049417;0,0676632;-0,00127517;-0,113359;0,174676;0,0363305;Ventral;Red
0,253848;0,481066;0,632882;0,850295;0,975888;1;0,926105;0,515754;0,64155;0,457125;0,290609;0,409803;0,473427;Ventral;Red
0,215612;0,410527;0,764906;0,800387;1;0,908352;0,768055;0,283904;0,287001;0,243067;0,00865015;0,203838;0,185792;Ventral;Red
0,197478;0,478036;0,641271;0,853669;1;0,936596;0,707491;0,269926;0,313789;0,166981;-0,0709087;0,174154;0,164433;Ventral;Red
0,0173387;0,285998;0,678554;0,907213;1;0,793885;0,479343;0,18775;0,252056;0,0266577;-0,301897;0,0284427;0,0867364;Ventral;Red
0,166833;0,370425;0,803064;0,869548;0,986166;1;0,847429;0,50205;0,673881;0,436955;0,431891;0,639538;0,548802;Ventral;Red
0,122237;0,508232;0,431398;0,927218;0,841338;1;0,756907;0,369403;0,291028;0,220556;0,0667871;0,526123;0,398947;Ventral;Red
0,0659295;0,310498;0,493604;0,809496;1;0,945812;0,810333;0,563578;0,422661;0,206621;0,191265;0,32168;0,552071;Ventral;Red
0,185824;0,440568;0,814787;0,832723;1;0,809356;0,67012;0,274267;0,201242;-0,0862482;0,0286635;0,0163647;0,124891;Ventral;Red
0,282861;0,555877;0,751361;0,912479;1;0,844807;0,761486;0,438953;0,378519;0,314624;0,0760078;0,279697;0,310997;Ventral;Red
0,128967;0,475863;0,671484;0,921719;0,849562;1;0,835583;0,559627;0,317758;0,669777;0,345015;0,538651;0,428277;Ventral;Red
0,147847;0,319028;0,641005;0,951013;1;0,85238;0,771516;0,440071;0,328107;0,223893;-0,0900953;-0,0416887;0,00709831;Ventral;Red
0,236918;0,421552;0,628296;0,757267;0,910189;1;0,830058;0,322243;0,266439;0,163717;0,0808189;0,168411;0,229977;Ventral;Red
-0,161495;0,212962;0,349628;0,870404;0,960472;1;0,866835;0,288068;0,239434;-0,121379;-0,124128;0,0756248;0,113809;Ventral;Red
0,273029;0,335572;0,410002;0,750389;1;0,949084;0,558676;0,14992;0,395423;0,142406;0,171002;0,13567;0,236508;Ventral;Red
0,139101;0,278731;0,66002;0,925321;0,946914;1;0,776784;0,58703;0,612708;0,292343;0,271205;0,608306;0,449785;Ventral;Red
0,172848;0,0546809;0,630076;0,916883;1;0,856067;0,71286;0,381589;-0,00285927;-0,14713;-0,270176;-0,296825;0,264756;Ventral;Red
0,0355215;0,287503;0,454983;0,939018;0,996604;1;0,51378;-0,026417;-0,0156158;-0,352989;-0,0164793;-0,246424;-0,298809;Ventral;Red
0,0156049;0,301294;0,581334;0,635107;1;0,747301;0,138917;-0,48828;-0,148729;-0,187393;-0,512188;-0,399349;-0,383668;Ventral;Red
0,0832859;0,426791;0,654722;0,787795;1;0,964801;0,812703;0,721725;0,683024;0,458696;0,345096;0,549215;0,461771;Ventral;Red
-0,161275;0,0284888;0,475749;0,851294;1;0,850246;0,772126;0,33761;0,413471;0,164152;-0,263099;-0,0537578;0,131199;Ventral;Red
-0,108407;-0,0680298;4,39E-01;0,755859;1;0,954699;0,336468;-0,406705;0,112993;-0,127558;-0,281242;-0,585781;-0,472695;Ventral;Red
0,0323416;0,326499;0,505412;0,709528;1;0,734702;0,576112;0,287702;0,0134432;0,0218578;-0,12493;-0,28531;0,0332821;Ventral;Red
-0,393642;0,184427;0,514283;0,741552;1;0,888224;0,926258;0,0924263;0,0857659;-0,0784135;-0,175452;-0,30085;0,0662637;Ventral;Red
0,023925;0,130353;0,481678;0,444578;0,774606;1;0,663239;0,275493;0,14118;-0,0514728;-0,177642;0,306964;0,0287759;Ventral;Red
