LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,118043;-0,328296;-0,635224;-1;-0,492364;0,221173;0,541059;0,527238;0,566565;0,53756;0,39299;0,254434;0,22804;SZ;G
-0,0537151;-0,212133;-0,605516;-0,47535;-0,449112;0,302211;0,811869;0,901764;1;0,985938;0,660351;0,369128;0,417239;SZ;G
-0,190759;-0,555784;-0,806445;-1;-0,395124;0,200438;0,284508;0,238907;0,337461;0,306816;0,179129;0,0982362;-0,0728148;SZ;G
0,00616513;-0,0467383;-0,221014;-0,275541;-0,18169;0,419201;0,765831;0,956886;1;0,826427;0,561982;0,346178;0,356797;SZ;G
-0,18195;-0,413677;-0,709267;-1;-0,740613;0,0828465;0,307648;0,443165;0,403305;0,432235;0,33454;0,25118;0,203089;SZ;G
-0,282953;-0,331727;-0,434963;-0,709574;-0,365015;0,448598;0,846211;1;0,956317;0,858616;0,571627;0,543736;0,241051;SZ;G
-0,312167;-0,512504;-0,747268;-1;-0,448581;0,34164;0,515812;0,593111;0,573079;0,558335;0,325635;0,0707305;0,127792;SZ;G
-0,395379;-0,514271;-0,687977;-0,720455;0,167355;0,825092;1;0,978107;0,934476;0,915646;0,81279;0,694222;0,745081;SZ;G
-0,160004;-0,253666;-0,468104;-0,3615;-0,619689;0,256138;0,743678;0,904055;1;0,801115;0,526408;0,222705;0,149504;SZ;G
-0,139545;-0,267684;-0,416402;-0,541909;-0,433063;0,380407;0,818545;0,98919;1;0,86487;0,677562;0,484323;0,408345;SZ;G
-0,252275;-0,338119;-0,603034;-0,538593;0,0036927;0,790558;0,887281;0,975617;1;0,918228;0,659596;0,494826;0,522409;SZ;G
-0,0683505;-0,211085;-0,336995;-0,597217;-0,638043;0,2781;0,792302;0,984452;0,912829;1;0,703884;0,351849;0,340416;SZ;G
-0,134478;-0,438965;-0,504562;-0,964337;-0,409833;0,455983;0,816916;0,968455;1;0,860858;0,575293;0,300713;0,29148;SZ;G
-0,151436;-0,260429;-0,505233;-1;-0,322669;0,596784;0,747916;0,765054;0,833656;0,835083;0,743246;0,526998;0,615756;SZ;G
-0,137353;-0,627555;-0,706158;-1;-0,898665;-0,648919;-0,312364;0,024372;0,0250826;-0,145197;-0,259476;-0,891256;-0,949541;SZ;G
-0,0704646;-0,237332;-0,310075;-0,227666;-0,128304;0,322596;0,886061;0,964868;1;0,921037;0,469893;0,166388;0,120804;SZ;G
-0,0791571;-0,512885;-0,655967;-0,928769;-0,427864;0,539159;0,856252;1;0,903999;0,774511;0,564746;0,47452;0,217155;SZ;G
-0,165097;-0,431388;-0,574743;-1;-0,501568;0,360963;0,765273;0,860207;0,858084;0,731223;0,413308;0,266919;0,378608;SZ;G
-0,0706382;-0,320682;-0,61644;-1;-0,887501;-0,134392;0,146824;0,401837;0,433277;0,406925;0,335253;0,200221;0,0786809;SZ;G
-0,172535;-0,521056;-0,670238;-1;-0,738198;0,19555;0,378417;0,4681;0,398298;0,467944;0,147784;0,0259428;-0,00398757;SZ;G
-0,261143;-0,65135;-0,769682;-1;-0,65777;0,358249;0,580793;0,629246;0,655123;0,60733;0,428491;0,359203;0,344888;SZ;G
-0,00696167;-0,246832;-0,39291;-0,804714;-0,328344;0,698163;0,866042;1;0,889785;0,854822;0,683981;0,606946;0,495062;SZ;G
-0,173801;-0,373033;-0,414407;-0,610687;-0,298496;0,562723;0,983633;1;0,982396;0,904806;0,615795;0,449164;0,417834;SZ;G
-0,0462802;-0,159785;-0,542763;-1;-0,451323;0,244086;0,613969;0,765669;0,831674;0,795773;0,592349;0,459495;0,446278;SZ;G
-0,316366;-0,4835;-0,787614;-1;-0,278924;0,463667;0,614747;0,67739;0,571034;0,573957;0,418117;0,281002;0,0412664;SZ;G
-0,167378;-0,334072;-0,752146;-1;-0,437537;0,313411;0,587296;0,715056;0,633215;0,596763;0,457853;0,384794;0,298702;SZ;G
-0,114105;-0,162137;-0,425013;-0,545732;-0,378003;0,41953;0,937454;0,964905;1;0,835232;0,462334;0,31398;0,194205;SZ;G
-0,251784;-0,545527;-0,949464;-1;-0,597342;0,368339;0,682596;0,747943;0,646796;0,707284;0,415096;0,1673;0,0886816;SZ;G
-0,172658;-0,422679;-0,511329;-0,805862;0,369174;0,74532;0,915327;0,972372;1;0,918055;0,68286;0,599379;0,458433;SZ;G
-0,226023;-0,52929;-0,744454;-1;-0,276511;0,283649;0,490872;0,571143;0,513027;0,588627;0,376236;0,300839;0,274753;SZ;G
-0,0208216;-0,1821;-0,241342;-0,377072;-0,171981;0,594266;0,837592;1;0,977645;0,851588;0,406894;0,279256;0,185101;SZ;G
-0,0903915;-0,0545084;-0,375951;-0,570616;0,203836;0,83592;0,973985;0,98121;1;0,855538;0,54248;0,312967;0,350765;SZ;G
-0,397195;-0,501654;-0,588458;-1;-0,701307;0,252631;0,559143;0,685633;0,699177;0,698483;0,434915;0,358325;0,264642;SZ;G
-0,0689443;-0,238393;-0,23661;-0,44076;-0,329055;0,429376;0,728414;0,967381;1;0,880966;0,591624;0,307633;0,29686;SZ;G
-0,114715;-0,465382;-0,595262;-1;-0,610413;0,0408021;0,587558;0,587901;0,685687;0,569992;0,606655;0,379756;0,35954;SZ;G
-0,394932;-0,483284;-0,855572;-1;-0,629408;0,280431;0,503662;0,619213;0,569957;0,640021;0,435469;0,232132;0,312663;SZ;G
0,0626568;-0,517756;-0,53642;-0,938527;-0,648913;0,353225;0,889598;0,970081;1;0,931569;0,728593;0,461377;0,389965;SZ;G
-0,205839;-0,298542;-0,594913;-0,898718;-0,494938;0,393759;0,906329;1;0,932079;0,784953;0,491213;0,303473;0,193847;SZ;G
-0,233346;-0,414446;-0,745048;-0,967143;-0,622051;0,392555;0,747024;0,985038;1;0,816306;0,630204;0,596721;0,342652;SZ;G
-0,293957;-0,619455;-0,679181;-1;-0,195619;0,526833;0,665874;0,758125;0,732255;0,677918;0,463283;0,40252;0,299593;SZ;G
-0,156243;-0,367609;-0,585782;-1;-0,87939;0,354906;0,698206;0,808361;0,719406;0,655373;0,160924;0,0544119;0,0590383;SZ;G
-0,240678;-0,680806;-0,583051;-0,819144;-0,377507;0,717356;0,760465;0,900081;1;0,954421;0,72405;0,495287;0,350522;SZ;G
-0,342787;-0,619089;-0,911313;-0,95827;-0,305969;0,642416;0,906575;1;0,892172;0,886652;0,284308;0,0940147;-0,095946;SZ;G
-0,0733871;-0,204358;-0,675237;-1;-0,665743;0,515674;0,789382;0,915933;0,879097;0,804233;0,70919;0,396855;0,516916;SZ;G
-0,0441377;-0,146498;-0,347076;-0,527345;-0,504791;0,391812;0,755839;0,932073;1;0,892148;0,734445;0,644014;0,606225;SZ;G
-0,101941;-0,54511;-0,882742;-1;-0,173816;0,352081;0,566782;0,620222;0,660593;0,616002;0,443569;0,145263;0,165699;SZ;G
-0,400326;-0,567252;-0,741518;-1;-0,243132;0,604658;0,586444;0,670816;0,695865;0,732479;0,509698;0,25732;0,238419;SZ;G
-0,101804;-0,404025;-0,850049;-1;-0,309106;0,446477;0,64058;0,706075;0,616494;0,595011;0,327355;0,0140651;0,144031;SZ;G
0,00550336;-0,0846404;-0,390964;-0,573574;-0,616082;0,582313;0,782984;1;0,900149;0,753294;0,537038;0,349394;0,216337;SZ;G
-0,160912;-0,393793;-0,643375;-1;-0,960175;0,111047;0,515085;0,668119;0,664129;0,522131;0,0645928;-0,217302;-0,245702;SZ;G
-0,354139;-0,48711;-0,600585;-0,749026;-0,47977;0,451366;0,924826;1;0,948269;0,852734;0,63272;0,392776;0,18257;SZ;G
-0,374131;-0,397805;-0,474445;-0,538961;0,118375;0,868497;0,891287;1;0,929155;0,796568;0,572294;0,536701;0,359028;SZ;G
-0,125103;-0,821165;-1;-0,827704;-0,183071;0,339296;0,576833;0,521714;0,470546;0,471583;0,314886;0,175037;0,139152;SZ;G
-0,218885;-0,365484;-0,652576;-1;-0,592651;0,149463;0,729896;0,868657;0,868267;0,804004;0,500393;0,363837;0,475688;SZ;G
0,0165124;-0,172928;-1;-0,865871;-0,303262;0,257307;0,593185;0,587815;0,614225;0,584682;0,476353;0,263018;0,196999;SZ;G
-0,233894;-0,421615;-0,624932;-1;-0,901821;-0,0876779;0,561721;0,75801;0,67235;0,530805;-0,069182;-0,175014;-0,326416;SZ;G
-0,225886;-0,291913;-0,445895;-0,549545;-0,170049;0,676023;0,936588;1;0,873144;0,892829;0,574315;0,370055;0,247029;SZ;G
-0,266952;-0,304606;-0,598313;-0,920728;-0,411661;0,642679;0,70538;0,973742;1;0,884747;0,727678;0,615662;0,629158;SZ;G
-0,0566666;-0,341192;-0,434481;-0,773241;-0,330098;0,575431;0,883485;1;0,994993;0,797566;0,526794;0,331503;0,228348;SZ;G
-0,1304;-0,109582;-0,50932;-0,42043;0,0546339;0,67933;0,875767;1;0,799395;0,720086;0,617002;0,589805;0,464328;SZ;G
-0,0654115;-0,253811;-0,570931;-1;-0,409591;0,356409;0,734599;0,832514;0,901518;0,781534;0,568561;0,491947;0,374569;SZ;G
-0,0839464;-0,378358;-0,767859;-1;-0,922979;-0,151646;0,176514;0,30616;0,291416;0,29225;0,105729;0,0537989;-0,0457304;SZ;G
-0,0121991;-0,357109;-0,575117;-0,903988;-0,369781;0,354067;0,649606;1;0,897979;0,779415;0,599505;0,483625;0,450134;SZ;G
