LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,158799;0,448926;0,559043;0,804657;1;0,586228;0,60154;0,339512;-0,102531;-0,229375;0,04589;-0,046464;0,408699;R
0,205445;0,584876;0,585367;0,968063;1;0,870379;0,61792;0,334998;0,234757;0,394525;0,05614;0,0599859;-0,0794561;R
0,229515;0,339385;0,690798;1;0,902719;0,639725;0,214913;-0,283253;-0,208539;-0,645699;-0,430673;-0,130757;-0,0287165;R
0,402804;0,576421;0,604998;0,956321;1;0,785378;0,699141;0,37065;0,264089;0,0354153;0,320204;0,208839;0,223161;R
0,147823;0,486607;0,656951;0,782947;1;0,788474;0,634507;0,344462;0,338495;0,0552094;0,0929634;0,254285;0,302686;R
0,247837;0,411898;0,711306;0,730747;1;0,890272;0,477825;-0,213134;0,0562966;0,0290899;0,00464377;0,206281;0,327656;R
0,0136419;0,336195;0,553959;1;0,996777;0,719617;0,503543;0,155269;-0,0228537;0,0516249;0,00392811;0,208329;0,269966;R
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
